date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits,target_death,target_hosp
3/7/2020,202010,X,US,0.962365591,0.668103448,0.431279621,1,0.988857939,0.014084507,0.711241838,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.992850537,0,0,0,0,0,0,0,0,0.452954507,0,0,0,0,0,0.283185841,0,16,
3/14/2020,202011,X,US,1,0.793103448,0.491311216,0.994897959,1,0,0.721477463,,0.970546251,0.96129147,0.988778938,0.976200901,0.974680985,0.964492859,0.970602341,0.962859442,0.960834661,0.953079629,0.98287614,0.969107148,0.977721585,0.968316654,0.972742943,0.96503282,0.956153048,0.947378757,0.959926063,0.952091556,0.970810472,0.959155308,0.972197029,0.963297003,0.970553784,0.961996712,0,0,1,0.005347594,0.00191878,0.0012167,0.002270362,0,0,0,0.000257507,0.469957052,0.043327731,0.001071536,0,0,0,0.336283186,0.061538462,42,
3/21/2020,202012,X,US,0.919354839,1,0.51342812,0.862244898,0.908077994,0.098591549,0.611203987,,0.557420478,0.540219273,0.553352989,0.539319845,0.554549812,0.539281917,0.566946216,0.547772903,0.585132468,0.562280818,0.535037399,0.524088877,0.555978768,0.541894435,0.571277384,0.552262648,0.581040146,0.554636691,0.565393554,0.54626866,0.554020496,0.538513269,0.562294241,0.546773018,0.571266303,0.550588596,0,0,0.958245805,0.037433155,0.015083894,0.018596478,0.016404542,0,0,0,0.026997575,0.485703251,0.074142711,0.01680168,0,0,0,0.353982301,0.246153846,421,
3/28/2020,202013,X,US,0.405913978,0.862068966,0.314375987,0.420918367,0.445682451,0.598591549,0.224820995,,0.27688388,0.289259187,0.290992334,0.305849292,0.295396651,0.311315183,0.288361052,0.300819158,0.247095129,0.25008022,0.309347769,0.328177118,0.301483033,0.318872793,0.286374378,0.297787194,0.229567313,0.229412127,0.249514934,0.253874876,0.278594662,0.287977565,0.283850761,0.295560373,0.270060255,0.28156064,0,0,0.564322284,0.155080214,0.059065249,0.072566645,0.041302149,0.01994779,0.031738473,0.004683694,0.193130245,0.442201118,0.034190981,0.103553212,0,0,0,0.340707965,0.630769231,2467,
4/4/2020,202014,X,US,0.051075269,0.155172414,0.16271722,0.089285714,0.133704735,0.908450704,0.015929092,,0.078962832,0.109055632,0.083284345,0.116446055,0.082889886,0.115934378,0.081388675,0.109715797,0.064080044,0.080204496,0.090551624,0.12882649,0.085940767,0.120572981,0.079795546,0.106936936,0.057415002,0.071619949,0.063791176,0.081699068,0.077549545,0.103445048,0.08335023,0.110497171,0.072996477,0.099484478,0,0,0.303024792,0.411764706,0.108978345,0.121528673,0.064796642,0.068485012,0.168235003,0.014289893,0.413278396,0.455174051,0.073474694,0.346106039,0,0,0,0.424778761,0.753846154,8211,
4/11/2020,202015,X,US,0.043010753,0.129310345,0.115323855,0.038265306,0.04735376,0.957746479,0,0.001736643,0.05964925,0.085961446,0.067041107,0.096636588,0.062154541,0.093209835,0.057730677,0.085459671,0.043153001,0.060260522,0.071469231,0.107458843,0.063984917,0.096873184,0.057569906,0.083826688,0.039184184,0.053657134,0.046279911,0.063543267,0.06510132,0.087560477,0.061692233,0.087079041,0.05085668,0.07722997,0,0,0.180540329,0.50802139,0.126984999,0.134768766,0.075578471,0.531478981,0.431468409,0.027567823,0.618711377,0.561912251,0.264067865,0.625519695,0,0.150174209,0,0.415929204,0.769230769,14645,411
4/18/2020,202016,X,US,0.010752688,0.159482759,0.139020537,0,0,1,0.0177428,0.002034597,0.048956479,0.0704979,0.047080074,0.072916036,0.047976361,0.076167827,0.048150761,0.074082677,0.040745598,0.055911892,0.052578824,0.085080097,0.050104771,0.079997525,0.048870701,0.072681186,0.035247295,0.047976763,0.035688387,0.051525821,0.046779313,0.066697895,0.046255359,0.069104071,0.043425669,0.067281799,0,0,0.110954164,0.49197861,0.117581262,0.136895666,0.07699397,0.754649383,0.607027675,0.04654738,0.493225847,0.81641532,0.689336149,0.644250139,1,1,1,0.367256637,0.646153846,15155,446
4/25/2020,202017,X,US,0,0,0.047393365,0.017857143,0.036211699,0.971830986,0.063385169,0.001396125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095576161,0.534759358,0.124057515,0.103938134,0.107992894,0.685624269,0.618372748,0.074027141,0.441689719,1,1,0.660323175,0.384166356,0.998558185,0.387121244,0.371681416,0.476923077,15529,371
5/2/2020,202018,X,US,0.077956989,0.13362069,0.195892575,0.068877551,0.072423398,0.922535211,0.145443649,0.002587939,0.115217227,0.107313738,0.121506112,0.117093989,0.126920738,0.124928036,0.118262362,0.116493151,0.085785157,0.082510691,0.144399838,0.141096212,0.132699058,0.130579146,0.114562162,0.111933427,0.07335265,0.070021601,0.080776245,0.07817289,0.098614892,0.09549888,0.110483088,0.107882076,0.110497243,0.108324995,0,0,0.076142587,0.513368984,0.113759646,0.191162351,0.119995581,0.608785669,0.566819582,0.092970877,0.483277522,0.915084989,0.909228692,0.580215164,0.345120003,0.347712336,0.364036411,0.318584071,0.369230769,13384,511
5/9/2020,202019,X,US,0.174731183,0.280172414,0.309636651,0.135204082,0.111420613,0.802816901,0.224600196,0.002221882,0.179230841,0.151378502,0.197714848,0.171404943,0.199369879,0.177003908,0.182523256,0.162649117,0.130611138,0.114931516,0.233419582,0.204576085,0.209268495,0.185193682,0.176668818,0.156350269,0.112455516,0.097918472,0.125698909,0.110319564,0.158804963,0.137938595,0.170844255,0.151989301,0.1724117,0.152827889,0,0,0.064899981,0.497326203,0.103217279,0.230615832,0.141198762,0.71279143,0.518123783,0.055732674,0.434561052,0.837140372,0.834971052,0.525566842,0.371354809,0.338672248,0.399422581,0.362831858,0.292307692,12285,468
